time,numworkers,streamsize
11081024,16,5000
11086090,16,5000
11091155,16,5000
11096254,16,5000
11101354,16,5000
11106487,16,5000
11111588,16,5000
11116687,16,5000
11121792,16,5000
11126892,16,5000
11131992,16,5000
11137058,16,5000
11142159,16,5000
11147254,16,5000
11152353,16,5000
11157455,16,5000
11162595,16,5000
11167659,16,5000
11172759,16,5000
11177859,16,5000
11182962,16,5000
11188078,16,5000
11193196,16,5000
11198258,16,5000
11203360,16,5000
11208460,16,5000
11213563,16,5000
11218629,16,5000
11223728,16,5000
11228830,16,5000
11233929,16,5000
11238993,16,5000
11244097,16,5000
11249162,16,5000
11254265,16,5000
11259367,16,5000
11264467,16,5000
11269565,16,5000
11274698,16,5000
11279760,16,5000
11284859,16,5000
11289958,16,5000
11295003,16,5000
11300067,16,5000
11305169,16,5000
11310268,16,5000
11315371,16,5000
11320495,16,5000
11325650,16,5000
11330715,16,5000
11335814,16,5000
11340913,16,5000
11346014,16,5000
11351079,16,5000
11356211,16,5000
11361314,16,5000
11366415,16,5000
11371516,16,5000
11376579,16,5000
11381647,16,5000
11386748,16,5000
11391848,16,5000
11396951,16,5000
11402089,16,5000
11407153,16,5000
11412219,16,5000
11417325,16,5000
11422425,16,5000
11427504,16,5000
11432639,16,5000
11437740,16,5000
11442873,16,5000
11448009,16,5000
11453108,16,5000
11458210,16,5000
11463275,16,5000
11468375,16,5000
11473475,16,5000
11478577,16,5000
11483676,16,5000
11488815,16,5000
11493880,16,5000
11498983,16,5000
11504083,16,5000
11509184,16,5000
11514252,16,5000
11519388,16,5000
11524491,16,5000
11529594,16,5000
11534693,16,5000
11539795,16,5000
11544858,16,5000
11549958,16,5000
11555004,16,5000
11560105,16,5000
11565205,16,5000
11570335,16,5000
11575401,16,5000
11580500,16,5000
11585599,16,5000
11590707,16,5000
11595813,16,5000
11600946,16,5000
11606060,16,5000
11611121,16,5000
11616219,16,5000
11621319,16,5000
11626385,16,5000
11631486,16,5000
11636589,16,5000
11641693,16,5000
11646794,16,5000
11651933,16,5000
11656998,16,5000
11662097,16,5000
11667161,16,5000
11672262,16,5000
11677361,16,5000
11682493,16,5000
11687594,16,5000
11692695,16,5000
11697797,16,5000
11702897,16,5000
11707962,16,5000
11713064,16,5000
11718165,16,5000
11723256,16,5000
11728356,16,5000
11733498,16,5000
11738564,16,5000
11743664,16,5000
11748763,16,5000
11753864,16,5000
11758965,16,5000
11764094,16,5000
11769197,16,5000
11774300,16,5000
11779400,16,5000
11784502,16,5000
11789568,16,5000
11794667,16,5000
11799767,16,5000
11804866,16,5000
11809969,16,5000
11815014,16,5000
11820080,16,5000
11825179,16,5000
11830279,16,5000
11835379,16,5000
11840512,16,5000
11845612,16,5000
11850744,16,5000
11855845,16,5000
11860946,16,5000
11866048,16,5000
11871112,16,5000
11876211,16,5000
11881311,16,5000
11886412,16,5000
11891516,16,5000
11896656,16,5000
11901721,16,5000
11906823,16,5000
11911924,16,5000
11917023,16,5000
11922088,16,5000
11927153,16,5000
11932284,16,5000
11937385,16,5000
11942485,16,5000
11947579,16,5000
11952644,16,5000
11957744,16,5000
11962846,16,5000
11967945,16,5000
11973046,16,5000
11978184,16,5000
11983249,16,5000
11988351,16,5000
11993450,16,5000
11998532,16,5000
12003635,16,5000
12008703,16,5000
12013840,16,5000
12018941,16,5000
12024067,16,5000
12029172,16,5000
12034241,16,5000
12039351,16,5000
12044493,16,5000
12049594,16,5000
12054734,16,5000
12059836,16,5000
12064901,16,5000
12070000,16,5000
12075019,16,5000
12080111,16,5000
12085209,16,5000
12090347,16,5000
12095447,16,5000
12100585,16,5000
12105686,16,5000
12110786,16,5000
12115849,16,5000
12120954,16,5000
12126053,16,5000
12131118,16,5000
12136220,16,5000
12141360,16,5000
12146426,16,5000
12151525,16,5000
12156627,16,5000
12161727,16,5000
12166867,16,5000
12171973,16,5000
12177072,16,5000
12182173,16,5000
12187266,16,5000
12192367,16,5000
12197433,16,5000
12202532,16,5000
12207631,16,5000
12212738,16,5000
12217838,16,5000
12222940,16,5000
12228006,16,5000
12233106,16,5000
12238197,16,5000
12243298,16,5000
12248387,16,5000
12253521,16,5000
12258620,16,5000
12263723,16,5000
12268828,16,5000
12273929,16,5000
12278962,16,5000
12284062,16,5000
12289164,16,5000
12294264,16,5000
12299329,16,5000
12304432,16,5000
12309497,16,5000
12314597,16,5000
12319696,16,5000
12324798,16,5000
12329897,16,5000
12334962,16,5000
12340093,16,5000
12345198,16,5000
12350259,16,5000
12355359,16,5000
12360460,16,5000
12365558,16,5000
12370658,16,5000
12375758,16,5000
12380857,16,5000
12385958,16,5000
12390996,16,5000
12396056,16,5000
12401157,16,5000
12406256,16,5000
12411320,16,5000
12416452,16,5000
12421551,16,5000
12426653,16,5000
12431752,16,5000
12436885,16,5000
12441987,16,5000
12447054,16,5000
12452187,16,5000
12457287,16,5000
12462387,16,5000
12467477,16,5000
12472575,16,5000
12477675,16,5000
12482741,16,5000
12487840,16,5000
12492942,16,5000
12498080,16,5000
12503143,16,5000
12508246,16,5000
12513345,16,5000
12518432,16,5000
12523573,16,5000
12528673,16,5000
12533775,16,5000
12538875,16,5000
12543977,16,5000
12549081,16,5000
12554147,16,5000
12559249,16,5000
12564314,16,5000
12569413,16,5000
12574553,16,5000
12579652,16,5000
12584773,16,5000
12589872,16,5000
12594980,16,5000
12600079,16,5000
12605177,16,5000
12610277,16,5000
12615377,16,5000
12620481,16,5000
12625593,16,5000
12630702,16,5000
12635845,16,5000
12640948,16,5000
12646012,16,5000
12651075,16,5000
12656218,16,5000
12661322,16,5000
12666442,16,5000
12671546,16,5000
12676635,16,5000
12681755,16,5000
12686864,16,5000
12691960,16,5000
12697099,16,5000
12702201,16,5000
12707310,16,5000
12712413,16,5000
12717526,16,5000
12722625,16,5000
12727688,16,5000
12732786,16,5000
12737891,16,5000
12743017,16,5000
12748125,16,5000
12753238,16,5000
12758362,16,5000
12763420,16,5000
12768517,16,5000
12773615,16,5000
12778720,16,5000
12783818,16,5000
12788916,16,5000
12794014,16,5000
12799076,16,5000
12804175,16,5000
12809238,16,5000
12814336,16,5000
12819441,16,5000
12824584,16,5000
12829691,16,5000
12834802,16,5000
12839935,16,5000
12845033,16,5000
12850150,16,5000
12855266,16,5000
12860377,16,5000
12865475,16,5000
12870577,16,5000
12875674,16,5000
12880782,16,5000
12885883,16,5000
12890943,16,5000
12896047,16,5000
12901145,16,5000
12906290,16,5000
12911395,16,5000
12916500,16,5000
12921599,16,5000
12926698,16,5000
12931797,16,5000
12936894,16,5000
12941992,16,5000
12947093,16,5000
12952191,16,5000
12957288,16,5000
12962387,16,5000
12967453,16,5000
12972516,16,5000
12977615,16,5000
12982713,16,5000
12987813,16,5000
12992910,16,5000
12998014,16,5000
13003112,16,5000
13008218,16,5000
13013324,16,5000
13018423,16,5000
13023527,16,5000
13028626,16,5000
13033723,16,5000
13038820,16,5000
13043918,16,5000
13049018,16,5000
13054081,16,5000
13059143,16,5000
13064241,16,5000
13069340,16,5000
13074457,16,5000
13079555,16,5000
13084653,16,5000
13089756,16,5000
13094854,16,5000
13099986,16,5000
13105085,16,5000
13110185,16,5000
13115275,16,5000
13120392,16,5000
13125489,16,5000
13130595,16,5000
13135657,16,5000
13140781,16,5000
13145886,16,5000
13151016,16,5000
13156148,16,5000
13161272,16,5000
13166370,16,5000
13171469,16,5000
13176567,16,5000
13181666,16,5000
13186783,16,5000
13191842,16,5000
13196940,16,5000
13202064,16,5000
13207174,16,5000
13212314,16,5000
13217377,16,5000
13222444,16,5000
13227548,16,5000
13232655,16,5000
13237782,16,5000
13242888,16,5000
13248019,16,5000
13253117,16,5000
13258227,16,5000
13263326,16,5000
13268428,16,5000
13273527,16,5000
13278625,16,5000
13283758,16,5000
13288857,16,5000
13293955,16,5000
13299017,16,5000
13304122,16,5000
13309228,16,5000
13314370,16,5000
13319476,16,5000
13324581,16,5000
13329680,16,5000
13334815,16,5000
13339940,16,5000
13345039,16,5000
13350144,16,5000
13355278,16,5000
13360376,16,5000
13365474,16,5000
13370572,16,5000
13375696,16,5000
13380758,16,5000
13385866,16,5000
13391031,16,5000
13396102,16,5000
13401205,16,5000
13406308,16,5000
13411406,16,5000
13416504,16,5000
13421602,16,5000
13426703,16,5000
13431801,16,5000
13436900,16,5000
13441997,16,5000
13447059,16,5000
13452188,16,5000
13457288,16,5000
13462351,16,5000
13467454,16,5000
13472557,16,5000
13477699,16,5000
13482802,16,5000
13487865,16,5000
13492967,16,5000
13498066,16,5000
13503128,16,5000
13508268,16,5000
13513370,16,5000
13518474,16,5000
13523541,16,5000
13528641,16,5000
13533758,16,5000
13538875,16,5000
13543954,16,5000
13549054,16,5000
13554160,16,5000
13559256,16,5000
13564356,16,5000
13569461,16,5000
13574562,16,5000
13579667,16,5000
13584768,16,5000
13589869,16,5000
13594991,16,5000
13600103,16,5000
13605219,16,5000
13610323,16,5000
13615417,16,5000
13620517,16,5000
13625580,16,5000
13630679,16,5000
13635777,16,5000
13640880,16,5000
13646023,16,5000
13651084,16,5000
13656181,16,5000
13661279,16,5000
13666383,16,5000
13671482,16,5000
13676581,16,5000
13681680,16,5000
13686778,16,5000
13691877,16,5000
13696975,16,5000
13702074,16,5000
13707137,16,5000
13712236,16,5000
13717335,16,5000
13722478,16,5000
13727581,16,5000
13732687,16,5000
13737786,16,5000
13742885,16,5000
13747983,16,5000
13753080,16,5000
13758184,16,5000
13763283,16,5000
13768381,16,5000
13773479,16,5000
13778580,16,5000
13783679,16,5000
13788742,16,5000
13793847,16,5000
13798953,16,5000
13804058,16,5000
13809160,16,5000
13814264,16,5000
13819364,16,5000
13824480,16,5000
13829546,16,5000
13834687,16,5000
13839787,16,5000
13844886,16,5000
13849984,16,5000
13855046,16,5000
13860144,16,5000
13865243,16,5000
13870306,16,5000
13875405,16,5000
13880512,16,5000
13885655,16,5000
13890758,16,5000
13895860,16,5000
13900958,16,5000
13906056,16,5000
13911119,16,5000
13916252,16,5000
13921358,16,5000
13926458,16,5000
13931556,16,5000
13936661,16,5000
13941765,16,5000
13946868,16,5000
13951929,16,5000
13957028,16,5000
13962167,16,5000
13967260,16,5000
13972364,16,5000
13977490,16,5000
13982589,16,5000
13987693,16,5000
13992798,16,5000
13997898,16,5000
14003007,16,5000
14008111,16,5000
14013214,16,5000
14018316,16,5000
14023420,16,5000
14028524,16,5000
14033587,16,5000
14038688,16,5000
14043786,16,5000
14048929,16,5000
14054034,16,5000
14059096,16,5000
14064195,16,5000
14069299,16,5000
14074405,16,5000
14079505,16,5000
14084605,16,5000
14089704,16,5000
14094803,16,5000
14099900,16,5000
14104998,16,5000
14110104,16,5000
14115166,16,5000
14120268,16,5000
14125373,16,5000
14130495,16,5000
14135601,16,5000
14140704,16,5000
14145803,16,5000
14150904,16,5000
14156043,16,5000
14161143,16,5000
14166243,16,5000
14171341,16,5000
14176437,16,5000
14181537,16,5000
14186636,16,5000
14191741,16,5000
14196805,16,5000
14201904,16,5000
14207012,16,5000
14212135,16,5000
14217241,16,5000
14222344,16,5000
14227447,16,5000
14232562,16,5000
14237665,16,5000
14242763,16,5000
14247866,16,5000
14252925,16,5000
14258025,16,5000
14263128,16,5000
14268230,16,5000
14273334,16,5000
14278397,16,5000
14283497,16,5000
14288595,16,5000
14293740,16,5000
14298842,16,5000
14303946,16,5000
14309046,16,5000
14314150,16,5000
14319246,16,5000
14324348,16,5000
14329447,16,5000
14334546,16,5000
14339643,16,5000
14344742,16,5000
14349840,16,5000
14354941,16,5000
